rank,average_proportion,num_verbs,sd_proportion
1338,1.4259436181893367e-05,1,
1339,1.4259436181893367e-05,1,
1340,1.4259436181893367e-05,1,
1341,1.4259436181893367e-05,1,
1342,1.4259436181893367e-05,1,
1343,1.4259436181893367e-05,1,
1344,1.4259436181893367e-05,1,
1345,1.4259436181893367e-05,1,
1346,1.4259436181893367e-05,1,
1347,1.4259436181893367e-05,1,
1348,1.4259436181893367e-05,1,
1349,1.4259436181893367e-05,1,
1350,1.4259436181893367e-05,1,
1351,1.4259436181893367e-05,1,
1352,1.4259436181893367e-05,1,
1353,1.4259436181893367e-05,1,
1354,1.4259436181893367e-05,1,
1355,1.4259436181893367e-05,1,
1356,1.4259436181893367e-05,1,
1357,1.4259436181893367e-05,1,
1358,1.4259436181893367e-05,1,
1359,1.4259436181893367e-05,1,
1360,1.4259436181893367e-05,1,
1361,1.4259436181893367e-05,1,
1362,1.4259436181893367e-05,1,
1363,1.4259436181893367e-05,1,
1364,1.4259436181893367e-05,1,
1365,1.4259436181893367e-05,1,
1366,1.4259436181893367e-05,1,
1367,1.4259436181893367e-05,1,
1368,1.4259436181893367e-05,1,
1369,1.4259436181893367e-05,1,
1370,1.4259436181893367e-05,1,
1371,1.4259436181893367e-05,1,
1372,1.4259436181893367e-05,1,
1373,1.4259436181893367e-05,1,
1374,1.4259436181893367e-05,1,
1375,1.4259436181893367e-05,1,
1376,1.4259436181893367e-05,1,
1377,1.4259436181893367e-05,1,
1378,1.4259436181893367e-05,1,
1379,1.4259436181893367e-05,1,
1380,1.4259436181893367e-05,1,
1381,1.4259436181893367e-05,1,
1382,1.4259436181893367e-05,1,
1383,1.4259436181893367e-05,1,
1384,1.4259436181893367e-05,1,
1385,1.4259436181893367e-05,1,
1386,1.4259436181893367e-05,1,
1387,1.4259436181893367e-05,1,
1388,1.4259436181893367e-05,1,
1389,1.4259436181893367e-05,1,
1390,1.4259436181893367e-05,1,
1391,1.4259436181893367e-05,1,
1392,1.4259436181893367e-05,1,
1393,1.4259436181893367e-05,1,
1394,1.4259436181893367e-05,1,
1395,1.4259436181893367e-05,1,
1396,1.4259436181893367e-05,1,
1397,1.4259436181893367e-05,1,
1398,1.4259436181893367e-05,1,
1399,1.4259436181893367e-05,1,
1400,1.4259436181893367e-05,1,
1401,1.4259436181893367e-05,1,
1402,1.4259436181893367e-05,1,
1403,1.4259436181893367e-05,1,
1404,1.4259436181893367e-05,1,
1405,1.4259436181893367e-05,1,
1406,1.4259436181893367e-05,1,
1407,1.4259436181893367e-05,1,
1408,1.4259436181893367e-05,1,
1409,1.4259436181893367e-05,1,
1410,1.4259436181893367e-05,1,
1411,1.4259436181893367e-05,1,
1412,1.4259436181893367e-05,1,
1413,1.4259436181893367e-05,1,
1414,1.4259436181893367e-05,1,
1415,1.4259436181893367e-05,1,
1416,1.4259436181893367e-05,1,
1417,1.4259436181893367e-05,1,
1418,1.4259436181893367e-05,1,
1419,1.4259436181893367e-05,1,
1420,1.4259436181893367e-05,1,
1421,1.4259436181893367e-05,1,
1422,1.4259436181893367e-05,1,
1423,1.4259436181893367e-05,1,
1424,1.4259436181893367e-05,1,
1425,1.4259436181893367e-05,1,
1426,1.4259436181893367e-05,1,
1427,1.4259436181893367e-05,1,
1428,1.4259436181893367e-05,1,
1429,1.4259436181893367e-05,1,
1430,1.4259436181893367e-05,1,
1431,1.4259436181893367e-05,1,
1432,1.4259436181893367e-05,1,
1433,1.4259436181893367e-05,1,
1434,1.4259436181893367e-05,1,
1435,1.4259436181893367e-05,1,
1436,1.4259436181893367e-05,1,
1437,1.4259436181893367e-05,1,
1438,1.4259436181893367e-05,1,
1439,1.4259436181893367e-05,1,
1440,1.4259436181893367e-05,1,
1441,1.4259436181893367e-05,1,
1442,1.4259436181893367e-05,1,
1443,1.4259436181893367e-05,1,
1444,1.4259436181893367e-05,1,
1445,1.4259436181893367e-05,1,
1446,1.4259436181893367e-05,1,
1447,1.4259436181893367e-05,1,
1448,1.4259436181893367e-05,1,
1449,1.4259436181893367e-05,1,
1450,1.4259436181893367e-05,1,
1451,1.4259436181893367e-05,1,
1452,1.4259436181893367e-05,1,
1453,1.4259436181893367e-05,1,
1454,1.4259436181893367e-05,1,
1455,1.4259436181893367e-05,1,
1456,1.4259436181893367e-05,1,
1457,1.4259436181893367e-05,1,
1458,1.4259436181893367e-05,1,
1459,1.4259436181893367e-05,1,
1460,1.4259436181893367e-05,1,
1461,1.4259436181893367e-05,1,
1462,1.4259436181893367e-05,1,
1463,1.4259436181893367e-05,1,
1464,1.4259436181893367e-05,1,
1465,1.4259436181893367e-05,1,
1466,1.4259436181893367e-05,1,
1467,1.4259436181893367e-05,1,
1468,1.4259436181893367e-05,1,
1469,1.4259436181893367e-05,1,
1470,1.4259436181893367e-05,1,
1471,1.4259436181893367e-05,1,
1472,1.4259436181893367e-05,1,
1473,1.4259436181893367e-05,1,
1474,1.4259436181893367e-05,1,
1475,1.4259436181893367e-05,1,
1476,1.4259436181893367e-05,1,
1477,1.4259436181893367e-05,1,
1478,1.4259436181893367e-05,1,
1479,1.4259436181893367e-05,1,
1480,1.4259436181893367e-05,1,
1481,1.4259436181893367e-05,1,
1482,1.4259436181893367e-05,1,
1483,1.4259436181893367e-05,1,
1484,1.4259436181893367e-05,1,
1485,1.4259436181893367e-05,1,
1486,1.4259436181893367e-05,1,
1487,1.4259436181893367e-05,1,
1488,1.4259436181893367e-05,1,
1489,1.4259436181893367e-05,1,
1490,1.4259436181893367e-05,1,
1491,1.4259436181893367e-05,1,
1492,1.4259436181893367e-05,1,
1493,1.4259436181893367e-05,1,
1494,1.4259436181893367e-05,1,
1495,1.4259436181893367e-05,1,
1496,1.4259436181893367e-05,1,
1497,1.4259436181893367e-05,1,
1498,1.4259436181893367e-05,1,
1499,1.4259436181893367e-05,1,
1500,1.4259436181893367e-05,1,
1501,1.4259436181893367e-05,1,
1502,1.4259436181893367e-05,1,
1503,1.4259436181893367e-05,1,
1504,1.4259436181893367e-05,1,
1505,1.4259436181893367e-05,1,
1506,1.4259436181893367e-05,1,
1507,1.4259436181893367e-05,1,
1508,1.4259436181893367e-05,1,
1509,1.4259436181893367e-05,1,
1510,1.4259436181893367e-05,1,
1511,1.4259436181893367e-05,1,
1512,1.4259436181893367e-05,1,
1513,1.4259436181893367e-05,1,
1514,1.4259436181893367e-05,1,
1515,1.4259436181893367e-05,1,
1516,1.4259436181893367e-05,1,
1517,1.4259436181893367e-05,1,
1518,1.4259436181893367e-05,1,
1519,1.4259436181893367e-05,1,
1520,1.4259436181893367e-05,1,
1521,1.4259436181893367e-05,1,
1522,1.4259436181893367e-05,1,
1523,1.4259436181893367e-05,1,
1524,1.4259436181893367e-05,1,
1525,1.4259436181893367e-05,1,
1526,1.4259436181893367e-05,1,
1527,1.4259436181893367e-05,1,
1528,1.4259436181893367e-05,1,
1529,1.4259436181893367e-05,1,
1530,1.4259436181893367e-05,1,
1531,1.4259436181893367e-05,1,
1532,1.4259436181893367e-05,1,
1533,1.4259436181893367e-05,1,
1534,1.4259436181893367e-05,1,
1535,1.4259436181893367e-05,1,
1536,1.4259436181893367e-05,1,
1537,1.4259436181893367e-05,1,
1538,1.4259436181893367e-05,1,
1539,1.4259436181893367e-05,1,
1540,1.4259436181893367e-05,1,
1541,1.4259436181893367e-05,1,
1542,1.4259436181893367e-05,1,
1543,1.4259436181893367e-05,1,
1544,1.4259436181893367e-05,1,
1545,1.4259436181893367e-05,1,
1546,1.4259436181893367e-05,1,
1547,1.4259436181893367e-05,1,
1548,1.4259436181893367e-05,1,
1549,1.4259436181893367e-05,1,
1550,1.4259436181893367e-05,1,
1551,1.4259436181893367e-05,1,
1552,1.4259436181893367e-05,1,
1553,1.4259436181893367e-05,1,
1554,1.4259436181893367e-05,1,
1555,1.4259436181893367e-05,1,
1556,1.4259436181893367e-05,1,
1557,1.4259436181893367e-05,1,
1558,1.4259436181893367e-05,1,
1559,1.4259436181893367e-05,1,
1560,1.4259436181893367e-05,1,
1561,1.4259436181893367e-05,1,
1562,1.4259436181893367e-05,1,
1563,1.4259436181893367e-05,1,
1564,1.4259436181893367e-05,1,
1565,1.4259436181893367e-05,1,
1566,1.4259436181893367e-05,1,
1567,1.4259436181893367e-05,1,
1568,1.4259436181893367e-05,1,
1569,1.4259436181893367e-05,1,
1570,1.4259436181893367e-05,1,
1571,1.4259436181893367e-05,1,
1572,1.4259436181893367e-05,1,
1573,1.4259436181893367e-05,1,
1574,1.4259436181893367e-05,1,
1575,1.4259436181893367e-05,1,
1576,1.4259436181893367e-05,1,
1577,1.4259436181893367e-05,1,
1578,1.4259436181893367e-05,1,
1579,1.4259436181893367e-05,1,
1580,1.4259436181893367e-05,1,
1581,1.4259436181893367e-05,1,
1582,1.4259436181893367e-05,1,
1583,1.4259436181893367e-05,1,
1584,1.4259436181893367e-05,1,
1585,1.4259436181893367e-05,1,
1586,1.4259436181893367e-05,1,
1587,1.4259436181893367e-05,1,
1588,1.4259436181893367e-05,1,
1589,1.4259436181893367e-05,1,
1590,1.4259436181893367e-05,1,
1591,1.4259436181893367e-05,1,
1592,1.4259436181893367e-05,1,
1593,1.4259436181893367e-05,1,
1594,1.4259436181893367e-05,1,
1595,1.4259436181893367e-05,1,
1596,1.4259436181893367e-05,1,
1597,1.4259436181893367e-05,1,
1598,1.4259436181893367e-05,1,
1599,1.4259436181893367e-05,1,
1600,1.4259436181893367e-05,1,
1601,1.4259436181893367e-05,1,
1602,1.4259436181893367e-05,1,
1603,1.4259436181893367e-05,1,
1604,1.4259436181893367e-05,1,
